0.00000,   -0.00000,    0.08000,    0.00000
3.00000,   -0.00000,    0.08000,    0.00000
6.00000,   -0.00000,    0.08000,    0.00000
9.00000,   -0.00000,    0.08000,    0.00000
13.00000,   -0.00000,    0.08000,    0.00000
15.00000,   -0.05000,    0.08000,    0.04000
17.00000,   -0.10000,    0.08000,    0.00000
21.00000,   -0.10000,    0.08000,    0.00000
25.00000,   -0.10000,    0.08000,    0.00000
27.00000,   -0.15000,    0.08000,    0.04000
29.00000,   -0.20000,    0.08000,    0.00000
33.00000,   -0.20000,    0.08000,    0.00000
37.00000,   -0.20000,    0.08000,    0.00000
39.00000,   -0.22500,    0.08000,    0.04000
41.00000,   -0.25000,    0.08000,    0.00000
45.00000,   -0.25000,    0.08000,    0.00000
48.00000,   -0.25000,    0.08000,    0.00000
